STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160101,0,0,0,-9999,42,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160102,0,0,0,-9999,40,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160103,0,0,0,-9999,45,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160104,0,0,0,-9999,36,14
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160105,0,0,0,-9999,29,11
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160106,0,0,0,-9999,41,25
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160107,0,0,0,-9999,46,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160108,0,0,0,-9999,46,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160109,0,0,0,-9999,47,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160110,1.8,0,0,-9999,59,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160111,0,0,0,-9999,40,26
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160112,0,0,0,-9999,44,25
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160113,0,0,0,-9999,30,22
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160114,0,0,0,-9999,38,22
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160115,0,0,0,-9999,51,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160116,0.24,0,0,-9999,52,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160117,0.05,0,0.4,-9999,42,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160118,0,0,0,-9999,31,18
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160119,0,0,0,-9999,28,16
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160120,0,0,0,-9999,37,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160121,0,0,0,-9999,36,26
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160122,0.01,0,0.2,-9999,30,21
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160123,2.31,5.9,27.3,-9999,27,24
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160124,0,22,0,-9999,35,20
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160125,0,18.9,0,-9999,39,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160126,0,16.9,0,-9999,48,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160127,0,9.1,0,-9999,47,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160128,0,5.9,0,-9999,42,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160129,0,5.9,0,-9999,41,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160130,0,5.9,0,-9999,39,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160131,0,3.9,0,-9999,56,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160201,0.01,2,0,-9999,59,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160202,0,0,0,-9999,50,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160203,0.73,0,0,-9999,59,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160204,0,0,0,-9999,59,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160205,0.53,1.2,2.5,-9999,44,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160206,0,0,0,-9999,40,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160207,0,0,0,-9999,47,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160208,0.05,0,0.1,-9999,39,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160209,0,0,0,-9999,36,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160210,0.01,0,0,-9999,39,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160211,0,0,0,-9999,31,18
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160212,0,0,0,-9999,27,15
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160213,0,0,0,-9999,22,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160214,0,0,0,-9999,15,-1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160215,0.44,0,1.4,-9999,35,13
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160216,1.01,0,0,-9999,54,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160217,0,0,0,-9999,39,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160218,0,0,0,-9999,36,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160219,0,0,0,-9999,39,24
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160220,0,0,0,-9999,61,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160221,0.03,0,0,-9999,55,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160222,0,0,0,-9999,52,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160223,0.3,0,0,-9999,40,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160224,1.22,0,0,-9999,60,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160225,0.02,0,0,-9999,61,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160226,0,0,0,-9999,39,27
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160227,0,0,0,-9999,41,26
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160228,0,0,0,-9999,60,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160229,0.05,0,0,-9999,61,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160301,0,0,0,-9999,52,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160302,0.14,0,0,-9999,55,29
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160303,0,0,0,-9999,36,26
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160304,0.11,0,0.4,-9999,39,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160305,0,0,0,-9999,41,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160306,0,0,0,-9999,44,32
